order_id,customer_id,employee_id,order_date,ship_date,order_status,payment_method,order_total
O10026,C0144,E105,2024-10-21,2024-10-23,Delivered,Cash,42.0
O10027,C0149,E103,2025-07-16,2025-07-21,Delivered,UPI,284.36
O10028,C0107,E107,2024-11-02,2024-11-07,Delivered,Cash,780.29
O10029,C0085,E103,2024-09-18,2024-09-20,Delivered,UPI,251.73
O10030,C0038,E103,2025-11-26,2025-11-27,Cancelled,Bank Transfer,0.0
O10031,C0088,E108,2024-05-19,2024-05-21,Delivered,Cheque,387.8
O10032,C0108,E109,2024-03-18,2024-03-20,Delivered,Bank Transfer,284.0
O10033,C0123,E109,2025-07-16,2025-07-20,Delivered,Bank Transfer,1906.18
O10034,C0051,E108,2024-02-28,2024-03-03,Delivered,UPI,864.18
O10035,C0090,E108,2025-09-08,2025-09-10,Delivered,UPI,794.45
O10036,C0016,E100,2024-11-12,2024-11-14,Cancelled,Bank Transfer,0.0
O10037,C0097,E107,2025-10-28,2025-10-29,Delivered,UPI,320.65
O10038,C0112,E107,2025-06-11,2025-06-16,Delivered,Cash,138.48
O10039,C0051,E104,2025-04-04,2025-04-05,Returned,Cash,351.8
O10040,C0071,E103,2025-11-20,2025-11-23,Delivered,Cash,589.02
O10041,C0041,E108,2024-10-16,2024-10-18,Delivered,Credit Terms,2433.37
O10042,C0054,E108,2025-11-23,2025-11-26,Cancelled,Cash,0.0
O10043,C0097,E109,2024-04-19,2024-04-24,Delivered,UPI,1968.1
O10044,C0114,E101,2024-12-16,2024-12-18,Delivered,UPI,614.95
O10045,C0053,E101,2024-07-15,2024-07-20,Delivered,Cash,471.08
O10046,C0069,E101,2025-02-03,2025-02-07,Returned,Cash,105.78
O10047,C0139,E105,2024-05-05,2024-05-08,Delivered,UPI,359.52
O10048,C0133,E101,2025-09-11,2025-09-12,Delivered,UPI,300.36
O10049,C0075,E108,2025-09-14,2025-09-16,Delivered,Bank Transfer,287.98
O10050,C0101,E106,2025-11-24,2025-11-26,Delivered,Cheque,382.74
O10051,C0017,E107,2024-05-01,2024-05-04,Delivered,Bank Transfer,20078.34
O10052,C0075,E102,2025-04-12,2025-04-14,Delivered,Bank Transfer,984.69
O10053,C0025,E108,2024-12-08,2024-12-12,Delivered,Bank Transfer,1793.71
O10054,C0104,E103,2024-09-13,2024-09-18,Delivered,UPI,427.11
O10055,C0096,E104,2024-09-17,2024-09-22,Delivered,UPI,76.56
O10056,C0006,E108,2024-10-27,2024-10-29,Delivered,Bank Transfer,22105.67
O10057,C0143,E106,2025-06-01,2025-06-04,Delivered,UPI,877.04
O10058,C0046,E109,2025-03-25,2025-03-26,Returned,Bank Transfer,567.67
O10059,C0051,E102,2024-11-27,2024-12-02,Delivered,Cash,202.32
O10060,C0015,E104,2024-03-06,2024-03-08,Delivered,Cash,4140.85
O10061,C0101,E100,2024-03-08,2024-03-11,Delivered,Cash,207.42
O10062,C0101,E106,2024-01-03,2024-01-05,Delivered,Cash,681.09
O10063,C0101,E104,2025-12-03,2025-12-07,Delivered,Bank Transfer,726.73
O10064,C0050,E104,2024-01-05,2024-01-08,Delivered,UPI,470.02
O10065,C0047,E100,2024-03-30,2024-04-04,Returned,Cash,1172.88
O10066,C0108,E108,2024-08-23,2024-08-25,Delivered,UPI,1065.3
O10067,C0022,E100,2025-08-17,2025-08-20,Cancelled,Bank Transfer,0.0
O10068,C0046,E107,2025-11-28,2025-12-03,Delivered,UPI,52.78
O10069,C0139,E105,2025-08-01,2025-08-05,Returned,UPI,48.02
O10070,C0090,E100,2025-05-23,2025-05-24,Delivered,UPI,129.75
O10071,C0067,E109,2025-01-18,2025-01-22,Delivered,Cash,353.77
O10072,C0103,E101,2024-03-15,2024-03-16,Delivered,UPI,1153.65
O10073,C0056,E105,2025-11-26,2025-11-27,Delivered,Cash,668.37
O10074,C0146,E107,2025-07-05,2025-07-06,Delivered,UPI,172.9
O10075,C0103,E102,2025-04-21,2025-04-26,Delivered,UPI,240.68
O10076,C0127,E101,2025-07-06,2025-07-10,Delivered,UPI,1503.23
O10077,C0019,E103,2025-06-13,2025-06-18,Delivered,Bank Transfer,1374.07
O10078,C0125,E102,2025-04-20,2025-04-22,Delivered,UPI,432.36
O10079,C0063,E104,2025-12-14,2025-12-16,Delivered,Cash,1181.87
O10080,C0036,E108,2025-10-20,2025-10-22,Delivered,Credit Terms,6601.25
O10081,C0150,E106,2025-04-26,2025-05-01,Delivered,UPI,153.63
O10082,C0065,E100,2025-05-25,2025-05-26,Returned,UPI,453.43
O10083,C0010,E106,2024-02-14,2024-02-19,Delivered,Bank Transfer,6363.88
O10084,C0122,E100,2025-05-10,2025-05-12,Delivered,Cash,758.26
O10085,C0070,E106,2024-02-08,2024-02-09,Cancelled,Cash,0.0
O10086,C0126,E102,2025-03-17,2025-03-20,Delivered,Cash,408.45
O10087,C0136,E103,2025-12-30,2026-01-02,Delivered,Cash,653.39
O10088,C0141,E106,2025-02-17,2025-02-21,Delivered,Bank Transfer,351.62
O10089,C0073,E109,2024-12-07,2024-12-12,Delivered,UPI,20.0
O10090,C0131,E105,2024-08-21,2024-08-26,Delivered,UPI,380.42
O10091,C0094,E109,2024-04-10,2024-04-11,Delivered,UPI,504.0
O10092,C0143,E101,2025-06-17,2025-06-21,Returned,UPI,485.57
O10093,C0104,E108,2024-05-24,2024-05-26,Delivered,UPI,1566.46
O10094,C0071,E106,2024-04-07,2024-04-08,Delivered,Cheque,131.67
O10095,C0123,E102,2024-11-02,2024-11-07,Delivered,UPI,186.8
O10096,C0103,E108,2025-08-06,2025-08-08,Delivered,Cash,315.0
O10097,C0110,E108,2025-06-26,2025-06-27,Cancelled,Cheque,0.0
O10098,C0074,E100,2024-02-17,2024-02-18,Returned,Cash,211.99
O10099,C0048,E100,2024-11-24,2024-11-25,Returned,UPI,107.1
O10100,C0148,E104,2025-01-19,2025-01-20,Delivered,UPI,117.12
O10101,C0112,E104,2025-04-25,2025-04-30,Delivered,UPI,166.32
O10102,C0141,E105,2025-04-28,2025-05-03,Delivered,Cash,89.82
O10103,C0057,E101,2024-09-25,2024-09-28,Delivered,UPI,50.46
O10104,C0090,E106,2025-02-21,2025-02-26,Delivered,Cash,24.84
O10105,C0031,E105,2024-12-14,2024-12-19,Delivered,Bank Transfer,12420.81
O10106,C0020,E109,2025-10-08,2025-10-12,Delivered,Cash,6775.83
O10107,C0070,E100,2025-01-26,2025-01-28,Delivered,UPI,720.76
O10108,C0125,E102,2024-11-14,2024-11-14,Delivered,UPI,342.6
O10109,C0033,E109,2024-10-21,2024-10-26,Delivered,UPI,9597.23
O10110,C0061,E105,2025-03-03,2025-03-05,Delivered,UPI,2270.84
O10111,C0120,E106,2025-08-14,2025-08-17,Returned,UPI,217.88
O10112,C0078,E108,2025-02-02,2025-02-05,Delivered,Cash,448.46
O10113,C0090,E103,2025-05-05,2025-05-07,Delivered,Cash,667.32
O10114,C0057,E101,2025-06-21,2025-06-26,Delivered,UPI,2044.55
O10115,C0003,E105,2025-01-17,2025-01-21,Returned,Bank Transfer,6169.7
O10116,C0011,E100,2024-11-05,2024-11-09,Delivered,Bank Transfer,2944.18
O10117,C0105,E106,2025-10-03,2025-10-07,Delivered,Cash,507.35
O10118,C0144,E106,2024-10-30,2024-10-31,Delivered,UPI,38.28
O10119,C0135,E105,2024-11-28,2024-12-02,Delivered,UPI,1223.15
O10120,C0145,E108,2025-12-22,2025-12-25,Returned,Cash,770.26
O10121,C0003,E107,2024-01-01,2024-01-02,Delivered,Credit Terms,8523.8
O10122,C0141,E103,2024-05-20,2024-05-22,Delivered,Cash,507.15
O10123,C0033,E107,2024-10-08,2024-10-09,Delivered,Bank Transfer,8597.68
O10124,C0114,E103,2025-11-09,2025-11-11,Returned,Cash,2702.6
O10125,C0066,E108,2024-03-01,2024-03-06,Delivered,UPI,200.6
O10126,C0113,E102,2024-01-09,2024-01-12,Delivered,UPI,2014.47
O10127,C0134,E105,2024-02-15,2024-02-16,Delivered,UPI,1017.52
O10128,C0034,E108,2024-03-17,2024-03-21,Cancelled,UPI,0.0
O10129,C0124,E101,2024-02-02,2024-02-03,Returned,UPI,59.88
O10130,C0009,E107,2024-12-13,2024-12-17,Delivered,Cash,19578.08
O10131,C0009,E109,2025-03-10,2025-03-14,Delivered,Cheque,6016.86
O10132,C0132,E100,2024-07-17,2024-07-18,Delivered,UPI,44.83
O10133,C0102,E104,2024-10-17,2024-10-22,Delivered,UPI,471.98
O10134,C0001,E107,2024-03-20,2024-03-25,Cancelled,Cheque,0.0
O10135,C0053,E107,2024-09-08,2024-09-10,Delivered,UPI,251.24
O10136,C0135,,2025-01-19,2025-01-21,Delivered,UPI,508.27
O10137,C0004,E104,2025-06-18,2025-06-19,Cancelled,Bank Transfer,0.0
O10138,C0057,E107,2024-01-03,2024-01-08,Delivered,UPI,82.02
O10139,C0003,E109,2024-12-02,2024-12-03,Delivered,Credit Terms,17296.47
O10140,C0128,E107,2024-08-08,2024-08-11,Returned,UPI,285.36
O10141,C0010,E109,2025-09-18,2025-09-20,Delivered,Cheque,8901.9
O10142,C0092,E105,2025-06-07,2025-06-10,Delivered,Cash,513.08
O10143,C0139,E101,2025-03-17,2025-03-18,Returned,UPI,615.34
O10144,C0047,E108,2024-07-21,2024-07-26,Delivered,UPI,199.2
O10145,C0016,E101,2025-10-25,2025-10-29,Delivered,Bank Transfer,12245.01
O10146,C0062,E109,2024-02-08,2024-02-13,Delivered,Cash,2101.46
O10147,C0085,E102,2024-04-03,2024-04-08,Delivered,Cash,215.04
O10148,C0116,E100,2024-10-13,2024-10-17,Returned,UPI,521.67
O10149,C0087,E105,2024-04-12,2024-04-16,Returned,UPI,1401.34
O10150,C0086,E101,2025-11-25,2025-11-28,Delivered,UPI,283.11
O10151,C0078,E106,2025-08-08,2025-08-13,Delivered,Cash,504.0
O10152,C0057,E105,2024-07-06,2024-07-07,Delivered,UPI,268.46
O10153,C0010,E104,2025-03-17,2025-03-20,Delivered,Credit Terms,3189.16
O10154,C0034,E105,2025-12-15,2025-12-17,Delivered,Credit Terms,12806.27
O10155,C0048,E108,2025-10-08,2025-10-10,Returned,Cash,497.35
O10156,C0105,E101,2025-03-28,2025-03-30,Delivered,UPI,343.75
O10157,C0143,E104,2025-10-21,2025-10-23,Delivered,UPI,709.22
O10158,C0010,E104,2025-12-21,2025-12-24,Delivered,Credit Terms,10085.15
O10159,C0149,E108,2025-06-25,2025-06-28,Delivered,UPI,1282.74
O10160,C0093,E104,2024-02-26,2024-03-01,Delivered,Cash,82.16
O10161,C0068,E107,2024-10-19,2024-10-22,Cancelled,Cash,0.0
O10162,C0132,E107,2025-09-09,2025-09-12,Delivered,UPI,157.36
O10163,C0106,E106,2024-06-17,2024-06-21,Delivered,UPI,533.94
O10164,C0088,E102,2025-09-04,2025-09-05,Delivered,UPI,2083.78
O10165,C0057,E100,2024-04-10,2024-04-14,Delivered,Cash,117.81
O10166,C0149,E103,2024-02-10,2024-02-13,Delivered,Cheque,2632.99
O10167,C0020,E109,2024-10-08,2024-10-09,Delivered,Credit Terms,8534.75
O10168,C0057,E101,2024-02-01,2024-02-02,Delivered,UPI,32.6
O10169,C0058,,2025-11-25,2025-11-27,Delivered,Cash,269.76
O10170,C0068,E104,2025-09-01,2025-09-02,Delivered,Cash,544.18
O10171,C0026,E108,2025-08-11,2025-08-16,Delivered,Credit Terms,12099.52
O10172,C0039,E101,2025-04-16,2025-04-19,Delivered,Cash,11172.09
O10173,C0001,E105,2024-06-08,2024-06-11,Delivered,UPI,8069.31
O10174,C0080,E109,2025-01-15,2025-01-19,Delivered,Cash,1901.88
O10175,C0134,E102,2025-03-24,2025-03-29,Delivered,UPI,112.24
O10176,C0065,E103,2025-01-21,2025-01-24,Delivered,UPI,129.06
O10177,C0056,E108,2024-07-07,2024-07-12,Returned,UPI,169.44
O10178,C0006,E105,2025-01-13,2025-01-18,Delivered,Bank Transfer,24413.44
O10179,C0084,E100,2024-12-23,2024-12-25,Delivered,UPI,322.2
O10180,C0140,E108,2025-12-27,2025-12-29,Delivered,UPI,328.41
O10181,C0148,E106,2025-10-16,2025-10-20,Returned,Cash,150.44
O10182,C0123,E100,2024-11-29,2024-11-30,Delivered,UPI,214.2
O10183,C0026,E107,2025-04-11,2025-04-16,Delivered,Cash,2219.62
O10184,C0013,E107,2025-06-27,2025-07-01,Returned,Bank Transfer,10319.1
O10185,C0057,E103,2024-01-31,2024-02-03,Delivered,UPI,661.07
O10186,C0077,E104,2025-10-15,2025-10-19,Delivered,Cash,692.4
O10187,C0066,E100,2025-09-22,2025-09-25,Delivered,UPI,838.18
O10188,C0085,E102,2024-11-25,2024-11-28,Delivered,UPI,1783.94
O10189,C0065,E108,2024-10-12,2024-10-15,Delivered,Cash,206.08
O10190,C0022,E107,2024-07-18,2024-07-23,Delivered,Credit Terms,7771.71
O10191,C0150,E102,2024-12-10,2024-12-12,Delivered,Cheque,609.63
O10192,C0122,E106,2024-02-08,2024-02-12,Delivered,Cash,1940.07
O10193,C0028,E108,2025-09-17,2025-09-21,Returned,Credit Terms,3439.43
O10194,C0047,E108,2024-01-31,2024-02-04,Delivered,UPI,212.38
O10195,C0142,E107,2024-09-03,2024-09-05,Delivered,UPI,345.68
O10196,C0111,E102,2025-11-08,2025-11-09,Delivered,Cash,549.64
O10197,C0023,E100,2025-06-20,2025-06-24,Delivered,Credit Terms,3244.16
O10198,C0146,E108,2024-07-25,2024-07-30,Delivered,Cheque,148.74
O10199,C0038,E105,2024-06-30,2024-07-02,Cancelled,Credit Terms,0.0
O10200,C0077,E106,2024-01-05,2024-01-10,Returned,Bank Transfer,449.1
O10201,C0002,E108,2025-05-26,2025-05-30,Returned,UPI,3792.11
O10202,C0002,E107,2024-02-12,2024-02-13,Delivered,UPI,4437.09
O10203,C0056,E108,2025-01-28,2025-01-30,Delivered,UPI,305.49
O10204,C0010,E106,2025-11-28,2025-11-29,Delivered,Credit Terms,15959.06
O10205,C0105,E109,2024-04-03,2024-04-08,Delivered,Cash,865.43
O10206,C0069,E105,2025-10-14,2025-10-18,Delivered,UPI,308.32
O10207,C0004,E103,2025-12-23,2025-12-24,Delivered,UPI,15447.0
O10208,C0041,E102,2024-02-23,2024-02-24,Delivered,Credit Terms,16916.17
O10209,C0088,E105,2025-10-07,2025-10-08,Delivered,UPI,187.38
O10210,C0015,E106,2025-01-13,2025-01-15,Delivered,Credit Terms,26249.37
O10211,C0018,E104,2025-10-22,2025-10-24,Delivered,Cash,12073.25
O10212,C0072,E109,2025-03-02,2025-03-06,Delivered,UPI,1394.77
O10213,C0147,E105,2025-05-05,2025-05-10,Delivered,Cash,1372.02
O10214,C0053,E106,2025-02-06,2025-02-09,Delivered,Cash,176.97
O10215,C0105,E107,2025-09-25,2025-09-30,Returned,UPI,690.58
O10216,C0060,E102,2025-06-19,2025-06-21,Delivered,UPI,130.2
O10217,C0048,E109,2025-01-18,2025-01-19,Delivered,Cash,214.51
O10218,C0111,E101,2025-09-27,2025-10-01,Delivered,Cash,1650.46
O10219,C0126,E105,2024-06-26,2024-06-30,Delivered,UPI,279.32
O10220,C0046,E105,2024-05-03,2024-05-08,Returned,UPI,587.49
O10221,C0032,E103,2024-05-04,2024-05-09,Delivered,UPI,2394.67
O10222,C0104,E106,2024-09-06,2024-09-08,Delivered,Bank Transfer,83.91
O10223,C0009,E109,2024-06-22,2024-06-25,Delivered,Bank Transfer,10995.9
O10224,C0002,E101,2025-11-07,2025-11-12,Delivered,Bank Transfer,14213.75
O10225,C0052,E109,2024-04-01,2024-04-06,Delivered,Cash,418.57
O10226,C0142,E103,2025-05-28,2025-05-29,Delivered,UPI,197.6
O10227,C0132,E108,2024-05-22,2024-05-24,Delivered,Cash,217.29
O10228,C0110,E108,2025-10-06,2025-10-11,Returned,UPI,817.73
O10229,C0026,E105,2025-11-28,2025-12-03,Delivered,UPI,9866.41
O10230,C0063,E102,2024-12-01,2024-12-02,Returned,UPI,104.1
O10231,C0099,E101,2025-10-04,2025-10-05,Delivered,Cash,1456.75
O10232,C0074,E103,2024-01-05,2024-01-10,Delivered,UPI,1373.98
O10233,C0040,E101,2025-08-27,2025-09-01,Delivered,UPI,3976.41
O10234,C0145,E101,2024-06-15,2024-06-17,Delivered,UPI,722.86
O10235,C0001,E104,2025-10-24,2025-10-25,Delivered,Cash,3731.99
O10236,C0108,E109,2024-01-01,2024-01-02,Delivered,Cash,548.38
O10237,C0116,E103,2025-02-17,2025-02-22,Delivered,UPI,433.4
O10238,C0079,E102,2025-07-04,2025-07-09,Delivered,UPI,1488.38
O10239,C0046,E105,2024-07-05,2024-07-10,Delivered,UPI,480.82
O10240,C0149,E104,2024-05-25,2024-05-28,Returned,Cheque,458.55
O10241,C0148,E107,2024-03-13,2024-03-15,Delivered,Cash,501.57
O10242,C0145,E105,2024-09-02,2024-09-06,Delivered,Cash,62.93
O10243,C0143,E105,2025-02-20,2025-02-23,Cancelled,UPI,0.0
O10244,C0027,E102,2024-04-07,2024-04-10,Delivered,UPI,17092.37
O10245,C0127,E107,2024-10-03,2024-10-05,Returned,Cash,2239.96
O10246,C0001,E106,2024-01-08,2024-01-11,Delivered,Cash,6350.45
O10247,C0138,E106,2025-08-26,2025-08-28,Delivered,Cheque,8.65
O10248,C0014,E104,2024-04-15,2024-04-19,Delivered,Bank Transfer,23194.49
O10249,C0136,E109,2024-07-27,2024-08-01,Delivered,UPI,494.46
O10250,C0115,E105,2024-01-16,2024-01-21,Returned,Cash,2913.18
O10251,C0093,E100,2024-11-09,2024-11-11,Delivered,Cash,295.76
O10252,C0015,E106,2025-09-10,2025-09-13,Returned,Bank Transfer,4927.67
O10253,C0082,E105,2024-10-13,2024-10-15,Delivered,UPI,1048.18
O10254,C0015,E105,2024-05-16,2024-05-21,Delivered,Cash,12353.76
O10255,C0012,E105,2025-07-01,2025-07-04,Delivered,UPI,5612.76
O10256,C0143,E101,2025-07-31,2025-08-04,Delivered,UPI,194.32
O10257,C0026,E107,2024-05-13,2024-05-16,Delivered,Credit Terms,9831.93
O10258,C0112,E101,2025-07-16,2025-07-21,Delivered,UPI,859.81
O10259,C0104,E103,2025-11-19,2025-11-23,Delivered,UPI,221.48
O10260,C0113,E105,2024-05-08,2024-05-13,Delivered,UPI,45.51
O10261,C0100,E100,2025-07-16,2025-07-20,Delivered,Cash,517.84
O10262,C0025,E109,2025-06-03,2025-06-08,Delivered,UPI,4102.64
O10263,C0038,E103,2024-12-08,2024-12-13,Delivered,Bank Transfer,6845.72
O10264,C0018,E102,2024-02-20,2024-02-22,Delivered,Credit Terms,6268.88
O10265,C0088,E109,2024-03-05,2024-03-09,Delivered,UPI,365.38
O10266,C0029,E107,2025-09-18,2025-09-23,Delivered,UPI,4406.41
O10267,C0029,E102,2025-12-22,2025-12-26,Delivered,Credit Terms,7764.48
O10268,C0048,E109,2025-05-14,2025-05-15,Cancelled,UPI,0.0
O10269,C0004,E105,2024-11-18,2024-11-20,Returned,Bank Transfer,12458.52
O10270,C0107,E109,2025-04-27,2025-04-29,Delivered,UPI,389.22
O10271,C0123,E104,2025-03-22,2025-03-23,Delivered,Cash,212.31
O10272,C0031,E108,2024-10-07,2024-10-11,Delivered,Cash,11160.14
O10273,C0074,E103,2024-02-26,2024-02-28,Delivered,Bank Transfer,3804.38
O10274,C0150,E103,2025-08-29,2025-09-03,Delivered,UPI,1344.58
O10275,C0078,E109,2024-09-30,2024-10-01,Cancelled,Cheque,0.0
O10276,C0073,E103,2025-08-26,2025-08-31,Delivered,Cash,689.53
O10277,C0068,E102,2024-06-30,2024-07-02,Delivered,UPI,129.75
O10278,C0073,E108,2024-01-01,2024-01-03,Delivered,UPI,285.46
O10279,C0010,E106,2024-05-04,2024-05-07,Delivered,Bank Transfer,15277.99
O10280,C0116,E107,2024-12-03,2024-12-06,Delivered,UPI,1752.08
O10281,C0051,E101,2025-11-17,2025-11-19,Delivered,Cash,412.57
O10282,C0041,E106,2024-03-29,2024-04-01,Delivered,Bank Transfer,16021.83
O10283,C0091,E108,2025-09-19,2025-09-24,Delivered,Cash,423.01
O10284,C0102,E105,2025-01-23,2025-01-26,Delivered,UPI,93.1
O10285,C0097,E101,2025-09-01,2025-09-06,Delivered,UPI,190.96
O10286,C0045,E101,2024-08-09,2024-08-11,Delivered,Credit Terms,19297.29
O10287,C0082,E102,2025-09-10,2025-09-13,Delivered,Cash,549.8
O10288,C0019,E108,2025-07-18,2025-07-21,Delivered,Bank Transfer,16650.28
O10289,C0027,E108,2024-06-16,2024-06-20,Delivered,Credit Terms,8952.25
O10290,C0067,E105,2024-04-16,2024-04-21,Delivered,Cash,1061.52
O10291,C0071,E101,2025-09-27,2025-10-02,Delivered,UPI,316.8
O10292,C0007,E104,2025-11-29,2025-12-03,Delivered,Credit Terms,22492.41
O10293,C0005,E108,2024-01-28,2024-01-30,Cancelled,Credit Terms,0.0
O10294,C0023,E109,2025-06-17,2025-06-21,Returned,UPI,3504.55
O10295,C0140,E102,2025-10-24,2025-10-27,Delivered,UPI,156.24
O10296,C0101,E103,2025-09-21,2025-09-26,Delivered,UPI,10.41
O10297,C0081,E100,2025-11-30,2025-12-03,Returned,Cash,240.39
O10298,C0010,E109,2025-07-07,2025-07-10,Delivered,Cheque,5003.09
O10299,C0050,E109,2024-11-15,2024-11-18,Delivered,Cash,266.5
O10300,C0016,E101,2024-08-20,2024-08-23,Delivered,Bank Transfer,11495.43
O10301,C0120,E100,2024-08-28,2024-08-29,Returned,UPI,980.25
O10302,C0077,E103,2025-06-13,2025-06-16,Delivered,UPI,294.77
O10303,C0061,E100,2025-06-26,2025-07-01,Delivered,UPI,155.83
O10304,C0022,E104,2024-05-29,2024-05-31,Delivered,Cheque,8907.26
O10305,C0109,E105,2025-09-27,2025-10-01,Delivered,Cheque,271.76
O10306,C0017,E104,2025-06-07,2025-06-09,Delivered,Cheque,6218.97
O10307,C0105,E107,2025-02-23,2025-02-27,Delivered,UPI,3696.03
O10308,C0052,E100,2024-12-06,2024-12-09,Delivered,UPI,602.61
O10309,C0102,E102,2025-02-06,2025-02-09,Delivered,UPI,480.43
O10310,C0006,E102,2024-05-04,2024-05-06,Delivered,UPI,25533.81
O10311,C0064,E106,2024-05-31,2024-06-01,Cancelled,Cash,0.0
O10312,C0080,E106,2024-03-19,2024-03-20,Delivered,Cash,12.76
O10313,C0006,E100,2024-04-30,2024-05-04,Delivered,Cash,30741.37
O10314,C0101,E101,2024-11-23,2024-11-27,Delivered,Cash,49.68
O10315,C0052,E108,2025-01-26,2025-01-30,Delivered,UPI,688.62
O10316,C0061,E103,2024-01-16,2024-01-20,Delivered,UPI,1498.68
O10317,C0012,E106,2025-08-07,2025-08-09,Delivered,Bank Transfer,3037.01
O10318,C0110,E104,2024-08-05,2024-08-06,Delivered,UPI,884.28
O10319,C0005,E104,2025-10-26,2025-10-27,Returned,Cash,6929.08
O10320,C0006,E104,2025-12-02,2025-12-04,Delivered,UPI,8550.87
O10321,C0099,E103,2024-05-20,2024-05-23,Returned,UPI,456.52
O10322,C0040,E100,2024-11-28,2024-12-03,Delivered,Bank Transfer,11679.33
O10323,C0018,E103,2024-01-02,2024-01-07,Delivered,Bank Transfer,8562.75
O10324,C0062,E102,2025-03-25,2025-03-30,Returned,Cash,1944.52
O10325,C0018,E106,2025-04-02,2025-04-04,Delivered,Cash,9189.56
O10326,C0095,E108,2024-06-27,2024-07-01,Cancelled,UPI,0.0
O10327,C0021,E106,2025-02-19,2025-02-22,Delivered,UPI,2048.88
O10328,C0120,E105,2024-06-14,2024-06-18,Delivered,Cash,508.32
O10329,C0041,E105,2024-05-05,2024-05-07,Delivered,Bank Transfer,12581.42
O10330,C0060,E108,2025-04-29,2025-05-01,Delivered,Bank Transfer,543.96
O10331,C0146,E109,2024-09-01,2024-09-02,Delivered,UPI,372.06
O10332,C0111,E101,2025-03-18,2025-03-23,Delivered,Cash,1699.9
O10333,C0013,E107,2024-11-09,2024-11-10,Delivered,Bank Transfer,27347.82
O10334,C0061,E107,2025-12-17,2025-12-21,Delivered,UPI,112.32
O10335,C0073,E105,2024-04-28,2024-04-30,Delivered,Cash,1851.99
O10336,C0045,E106,2024-11-30,2024-12-04,Delivered,Credit Terms,16954.45
O10337,C0078,E102,2025-05-17,2025-05-19,Delivered,Cash,91.02
O10338,C0068,E106,2024-10-15,2024-10-19,Delivered,UPI,441.07
O10339,C0029,E109,2025-12-09,2025-12-10,Returned,Bank Transfer,934.43
O10340,C0070,E109,2025-06-11,2025-06-12,Delivered,Cash,138.4
O10341,C0044,E102,2025-05-02,2025-05-05,Delivered,Bank Transfer,19544.5
O10342,C0144,E102,2025-07-04,2025-07-05,Delivered,Cash,479.04
O10343,C0093,E101,2025-11-22,2025-11-27,Delivered,Bank Transfer,486.94
O10344,C0104,E101,2025-10-23,2025-10-24,Delivered,Bank Transfer,1096.84
O10345,C0131,E107,2025-06-13,2025-06-17,Delivered,UPI,946.02
O10346,C0081,E109,2025-06-28,2025-07-01,Delivered,UPI,60.76
O10347,C0072,E106,2024-04-25,2024-04-26,Delivered,Cash,26.34
O10348,C0120,E107,2024-03-29,2024-04-02,Delivered,UPI,100.56
O10349,C0036,E107,2025-03-02,2025-03-04,Returned,Credit Terms,3476.44
O10350,C0070,E105,2024-01-16,2024-01-20,Delivered,UPI,1239.9
O10351,C0089,E108,2024-12-15,2024-12-17,Delivered,UPI,136.92
O10352,C0057,E105,2024-06-04,2024-06-07,Returned,UPI,162.66
O10353,C0023,E103,2024-09-14,2024-09-19,Cancelled,Bank Transfer,0.0
O10354,C0081,E104,2025-07-20,2025-07-22,Delivered,UPI,399.42
