order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total,customer_id,employee_id,order_date,ship_date,order_status,payment_method,order_total,processing_days,customer_name,customer_type,city,state,product_name,category,size,thickness,unit_cost,retail_price,wholesale_price,employee_name,region,profit,order_month
OI000011,O10003,P1057,116,19.51,0.051,2147.74,C0011,E107,2024-11-02,2024-11-04,Delivered,Bank Transfer,8443.4,2,Stationery Junction Pune,Wholesale,Pune,Maharashtra,Holographic Lamination Film - A4,Film,A4,250 micron,13.48,27.97,19.51,Divya Nair,East,663.81,2024-11
OI000012,O10004,P1027,2,65.16,0.031,126.28,C0078,E108,2024-04-17,2024-04-22,Delivered,UPI,1457.36,5,Neighborhood Printers Chennai,Retail,Chennai,Tamil Nadu,Thermal Lamination Roll - 25in,Roll,25in,75 micron,38.4,65.16,56.63,Rohit Joshi,West,51.86,2024-04
OI000013,O10004,P1025,22,54.94,0.028,1174.84,C0078,E108,2024-04-17,2024-04-22,Delivered,UPI,1457.36,5,Neighborhood Printers Chennai,Retail,Chennai,Tamil Nadu,Thermal Lamination Roll - 12in,Roll,12in,150 micron,28.42,54.94,39.29,Rohit Joshi,West,567.1,2024-04
OI000014,O10004,P1018,18,8.68,0.0,156.24,C0078,E108,2024-04-17,2024-04-22,Delivered,UPI,1457.36,5,Neighborhood Printers Chennai,Retail,Chennai,Tamil Nadu,Matte Lamination Pouch - ID Card,Pouch,ID Card,250 micron,4.71,8.68,5.96,Rohit Joshi,West,71.46,2024-04
OI000015,O10005,P1029,106,27.21,0.033,2789.08,C0035,E102,2025-10-19,2025-10-20,Delivered,UPI,5600.75,1,Graphic Traders Chennai,Wholesale,Chennai,Tamil Nadu,Thermal Lamination Roll - 27in,Roll,27in,75 micron,20.28,34.62,27.21,Aman Verma,East,710.34,2025-10
OI000016,O10005,P1022,153,5.13,0.072,728.38,C0035,E102,2025-10-19,2025-10-20,Delivered,UPI,5600.75,1,Graphic Traders Chennai,Wholesale,Chennai,Tamil Nadu,Matte Lamination Pouch - Letter,Pouch,Letter,75 micron,3.6,6.86,5.13,Aman Verma,East,217.24,2025-10
OI000017,O10005,P1018,171,5.96,0.041,977.37,C0035,E102,2025-10-19,2025-10-20,Delivered,UPI,5600.75,1,Graphic Traders Chennai,Wholesale,Chennai,Tamil Nadu,Matte Lamination Pouch - ID Card,Pouch,ID Card,250 micron,4.71,8.68,5.96,Aman Verma,East,204.99,2025-10
OI000018,O10005,P1063,120,9.62,0.042,1105.92,C0035,E102,2025-10-19,2025-10-20,Delivered,UPI,5600.75,1,Graphic Traders Chennai,Wholesale,Chennai,Tamil Nadu,PVC ID Card Laminate - Business Card,Pouch,Business Card,250 micron,7.28,13.29,9.62,Aman Verma,East,269.01,2025-10
OI000019,O10006,P1074,4,21.0,0.0,84.0,C0101,E106,2025-05-23,2025-05-26,Delivered,Cheque,914.88,3,Student Stationery Lucknow,Retail,Lucknow,Uttar Pradesh,UV Protective Lamination Film - A3,Film,A3,250 micron,12.09,21.0,17.14,Karan Malhotra,South,35.64,2025-05
OI000020,O10006,P1029,24,34.62,0.0,830.88,C0101,E106,2025-05-23,2025-05-26,Delivered,Cheque,914.88,3,Student Stationery Lucknow,Retail,Lucknow,Uttar Pradesh,Thermal Lamination Roll - 27in,Roll,27in,75 micron,20.28,34.62,27.21,Karan Malhotra,South,344.16,2025-05
OI000021,O10007,P1000,20,10.41,0.0,208.2,C0127,E105,2025-05-18,2025-05-22,Delivered,UPI,208.2,4,Quick Print Shop Ahmedabad,Retail,Ahmedabad,Gujarat,Glossy Lamination Pouch - A4,Pouch,A4,100 micron,5.55,10.41,7.4,Anita Desai,North,97.2,2025-05
OI000022,O10008,P1074,13,21.0,0.014,269.18,C0085,E109,2025-08-30,2025-08-31,Delivered,Cheque,269.18,1,Easy ID Cards Kolkata,Retail,Kolkata,West Bengal,UV Protective Lamination Film - A3,Film,A3,250 micron,12.09,21.0,17.14,Neha Gupta,Central,114.21,2025-08
OI000023,O10009,P1069,15,8.65,0.0,129.75,C0059,E100,2025-01-25,2025-01-26,Delivered,Cash,1206.04,1,FastCard Print Pune,Retail,Pune,Maharashtra,Anti-Scratch Lamination Sheet - A3,Sheet,A3,100 micron,4.13,8.65,6.14,Rahul Sharma,North,67.8,2025-01
OI000024,O10009,P1027,15,65.16,0.0,977.4,C0059,E100,2025-01-25,2025-01-26,Delivered,Cash,1206.04,1,FastCard Print Pune,Retail,Pune,Maharashtra,Thermal Lamination Roll - 25in,Roll,25in,75 micron,38.4,65.16,56.63,Rahul Sharma,North,401.4,2025-01
OI000025,O10009,P1044,11,8.99,0.0,98.89,C0059,E100,2025-01-25,2025-01-26,Delivered,Cash,1206.04,1,FastCard Print Pune,Retail,Pune,Maharashtra,Self-Adhesive Laminate Sheet - A3,Sheet,A3,75 micron,4.4,8.99,6.11,Rahul Sharma,North,50.49,2025-01
OI000026,O10010,P1061,21,13.3,0.0,279.3,C0053,E104,2025-08-23,2025-08-26,Delivered,Cash,279.3,3,Campus Stationery Kolkata,Retail,Kolkata,West Bengal,PVC ID Card Laminate - ID Card,Pouch,ID Card,150 micron,7.04,13.3,9.47,Vikram Rao,Central,131.46,2025-08
OI000027,O10011,P1057,17,27.97,0.013,469.31,C0085,E100,2024-12-29,2025-01-01,Delivered,Cash,1856.1,3,Easy ID Cards Kolkata,Retail,Kolkata,West Bengal,Holographic Lamination Film - A4,Film,A4,250 micron,13.48,27.97,19.51,Rahul Sharma,North,243.13,2024-12
OI000028,O10011,P1036,21,67.58,0.035,1369.51,C0085,E100,2024-12-29,2025-01-01,Delivered,Cash,1856.1,3,Easy ID Cards Kolkata,Retail,Kolkata,West Bengal,Cold Lamination Roll - 25in,Roll,25in,75 micron,37.22,67.58,49.26,Rahul Sharma,North,615.25,2024-12
OI000029,O10011,P1046,2,8.64,0.0,17.28,C0085,E100,2024-12-29,2025-01-01,Delivered,Cash,1856.1,3,Easy ID Cards Kolkata,Retail,Kolkata,West Bengal,Self-Adhesive Laminate Sheet - A2,Sheet,A2,100 micron,4.2,8.64,6.1,Rahul Sharma,North,8.88,2024-12
OI000030,O10012,P1011,166,10.18,0.016,1662.84,C0041,E105,2024-02-27,2024-02-29,Delivered,Bank Transfer,12086.39,2,Graphic Traders Chennai,Wholesale,Chennai,Tamil Nadu,Glossy Lamination Pouch - Letter,Pouch,Letter,250 micron,7.11,12.76,10.18,Anita Desai,North,501.47,2024-02
OI000031,O10012,P1022,99,5.13,0.012,501.78,C0041,E105,2024-02-27,2024-02-29,Delivered,Bank Transfer,12086.39,2,Graphic Traders Chennai,Wholesale,Chennai,Tamil Nadu,Matte Lamination Pouch - Letter,Pouch,Letter,75 micron,3.6,6.86,5.13,Anita Desai,North,149.65,2024-02
OI000032,O10012,P1061,53,9.47,0.0,501.91,C0041,E105,2024-02-27,2024-02-29,Delivered,Bank Transfer,12086.39,2,Graphic Traders Chennai,Wholesale,Chennai,Tamil Nadu,PVC ID Card Laminate - ID Card,Pouch,ID Card,150 micron,7.04,13.3,9.47,Anita Desai,North,128.79,2024-02
OI000033,O10012,P1014,64,5.08,0.0,325.12,C0041,E105,2024-02-27,2024-02-29,Delivered,Bank Transfer,12086.39,2,Graphic Traders Chennai,Wholesale,Chennai,Tamil Nadu,Matte Lamination Pouch - A4,Pouch,A4,100 micron,3.53,6.52,5.08,Anita Desai,North,99.2,2024-02
OI000034,O10012,P1077,141,17.4,0.007,2436.23,C0041,E105,2024-02-27,2024-02-29,Delivered,Bank Transfer,12086.39,2,Graphic Traders Chennai,Wholesale,Chennai,Tamil Nadu,UV Protective Lamination Film - Roll-25in,Film,Roll-25in,150 micron,12.35,24.27,17.4,Anita Desai,North,707.07,2024-02
OI000035,O10012,P1036,124,49.26,0.008,6059.37,C0041,E105,2024-02-27,2024-02-29,Delivered,Bank Transfer,12086.39,2,Graphic Traders Chennai,Wholesale,Chennai,Tamil Nadu,Cold Lamination Roll - 25in,Roll,25in,75 micron,37.22,67.58,49.26,Anita Desai,North,1481.02,2024-02
OI000036,O10012,P1072,58,7.61,0.0,441.38,C0041,E105,2024-02-27,2024-02-29,Delivered,Bank Transfer,12086.39,2,Graphic Traders Chennai,Wholesale,Chennai,Tamil Nadu,UV Protective Lamination Film - A4,Film,A4,150 micron,6.0,9.65,7.61,Anita Desai,North,93.38,2024-02
OI000037,O10012,P1016,29,5.44,0.0,157.76,C0041,E105,2024-02-27,2024-02-29,Delivered,Bank Transfer,12086.39,2,Graphic Traders Chennai,Wholesale,Chennai,Tamil Nadu,Matte Lamination Pouch - A3,Pouch,A3,75 micron,4.16,6.93,5.44,Anita Desai,North,37.12,2024-02
OI000038,O10013,P1032,118,43.73,0.09,4695.73,C0018,E108,2024-10-22,2024-10-23,Delivered,Credit Terms,9926.11,1,ID Card Distributors Chandigarh,Wholesale,Chandigarh,Punjab,Thermal Lamination Roll - 36in,Roll,36in,250 micron,34.68,71.48,43.73,Rohit Joshi,West,971.79,2024-10
OI000039,O10013,P1025,61,39.29,0.0,2396.69,C0018,E108,2024-10-22,2024-10-23,Delivered,Credit Terms,9926.11,1,ID Card Distributors Chandigarh,Wholesale,Chandigarh,Punjab,Thermal Lamination Roll - 12in,Roll,12in,150 micron,28.42,54.94,39.29,Rohit Joshi,West,663.07,2024-10
OI000040,O10013,P1052,139,21.28,0.042,2833.69,C0018,E108,2024-10-22,2024-10-23,Delivered,Credit Terms,9926.11,1,ID Card Distributors Chandigarh,Wholesale,Chandigarh,Punjab,Soft Touch Lamination Film - A3,Film,A3,250 micron,14.67,29.94,21.28,Rohit Joshi,West,880.2,2024-10
OI000041,O10014,P1072,145,7.61,0.02,1081.38,C0037,E100,2024-12-28,2025-01-02,Delivered,Cheque,3083.7,5,ID Card Distributors Chandigarh,Wholesale,Chandigarh,Punjab,UV Protective Lamination Film - A4,Film,A4,150 micron,6.0,9.65,7.61,Rahul Sharma,North,228.78,2024-12
OI000042,O10014,P1000,163,7.4,0.081,1108.5,C0037,E100,2024-12-28,2025-01-02,Delivered,Cheque,3083.7,5,ID Card Distributors Chandigarh,Wholesale,Chandigarh,Punjab,Glossy Lamination Pouch - A4,Pouch,A4,100 micron,5.55,10.41,7.4,Rahul Sharma,North,277.12,2024-12
OI000043,O10014,P1020,124,4.79,0.037,571.98,C0037,E100,2024-12-28,2025-01-02,Delivered,Cheque,3083.7,5,ID Card Distributors Chandigarh,Wholesale,Chandigarh,Punjab,Matte Lamination Pouch - A5,Pouch,A5,250 micron,3.49,5.89,4.79,Rahul Sharma,North,155.24,2024-12
OI000044,O10014,P1018,54,5.96,0.0,321.84,C0037,E100,2024-12-28,2025-01-02,Delivered,Cheque,3083.7,5,ID Card Distributors Chandigarh,Wholesale,Chandigarh,Punjab,Matte Lamination Pouch - ID Card,Pouch,ID Card,250 micron,4.71,8.68,5.96,Rahul Sharma,North,67.5,2024-12
OI000046,O10016,P1049,195,12.54,0.083,2242.34,C0021,E102,2024-04-01,2024-04-04,Returned,Bank Transfer,12739.98,3,Print & Pack Co Bengaluru,Wholesale,Bengaluru,Karnataka,Soft Touch Lamination Film - A4,Film,A4,150 micron,8.44,16.27,12.54,Aman Verma,East,733.14,2024-04
OI000047,O10016,P1039,22,45.54,0.0,1001.88,C0021,E102,2024-04-01,2024-04-04,Returned,Bank Transfer,12739.98,3,Print & Pack Co Bengaluru,Wholesale,Bengaluru,Karnataka,Cold Lamination Roll - 27in,Roll,27in,150 micron,36.21,70.77,45.54,Aman Verma,East,205.26,2024-04
OI000048,O10016,P1055,118,9.97,0.084,1077.64,C0021,E102,2024-04-01,2024-04-04,Returned,Bank Transfer,12739.98,3,Print & Pack Co Bengaluru,Wholesale,Bengaluru,Karnataka,Soft Touch Lamination Film - Roll-25in,Film,Roll-25in,150 micron,7.4,15.82,9.97,Aman Verma,East,277.79,2024-04
OI000049,O10016,P1046,131,6.1,0.07,743.16,C0021,E102,2024-04-01,2024-04-04,Returned,Bank Transfer,12739.98,3,Print & Pack Co Bengaluru,Wholesale,Bengaluru,Karnataka,Self-Adhesive Laminate Sheet - A2,Sheet,A2,100 micron,4.2,8.64,6.1,Aman Verma,East,231.48,2024-04
OI000050,O10016,P1032,178,43.73,0.014,7674.96,C0021,E102,2024-04-01,2024-04-04,Returned,Bank Transfer,12739.98,3,Print & Pack Co Bengaluru,Wholesale,Bengaluru,Karnataka,Thermal Lamination Roll - 36in,Roll,36in,250 micron,34.68,71.48,43.73,Aman Verma,East,1588.35,2024-04
OI000053,O10018,P1022,22,6.86,0.0,150.92,C0056,E108,2024-07-10,2024-07-12,Delivered,UPI,150.92,2,Student Stationery Chennai,Retail,Chennai,Tamil Nadu,Matte Lamination Pouch - Letter,Pouch,Letter,75 micron,3.6,6.86,5.13,Rohit Joshi,West,71.72,2024-07
OI000054,O10019,P1061,4,13.3,0.0,53.2,C0110,E105,2024-07-12,2024-07-17,Delivered,UPI,53.2,5,Cyber Cafe & Print Delhi,Retail,Delhi,Delhi,PVC ID Card Laminate - ID Card,Pouch,ID Card,150 micron,7.04,13.3,9.47,Anita Desai,North,25.04,2024-07
OI000055,O10020,P1059,19,16.76,0.0,318.44,C0146,E106,2025-06-18,2025-06-23,Delivered,Cash,453.6,5,Campus Stationery Jaipur,Retail,Jaipur,Rajasthan,Holographic Lamination Film - Roll-25in,Film,Roll-25in,75 micron,9.03,16.76,11.79,Karan Malhotra,South,146.87,2025-06
OI000056,O10020,P1036,2,67.58,0.0,135.16,C0146,E106,2025-06-18,2025-06-23,Delivered,Cash,453.6,5,Campus Stationery Jaipur,Retail,Jaipur,Rajasthan,Cold Lamination Roll - 25in,Roll,25in,75 micron,37.22,67.58,49.26,Karan Malhotra,South,60.72,2025-06
OI000057,O10021,P1039,12,70.77,0.0,849.24,C0112,E106,2024-06-29,2024-07-02,Delivered,UPI,1101.24,3,City Photocopy Center Lucknow,Retail,Lucknow,Uttar Pradesh,Cold Lamination Roll - 27in,Roll,27in,150 micron,36.21,70.77,45.54,Karan Malhotra,South,414.72,2024-06
OI000058,O10021,P1074,12,21.0,0.0,252.0,C0112,E106,2024-06-29,2024-07-02,Delivered,UPI,1101.24,3,City Photocopy Center Lucknow,Retail,Lucknow,Uttar Pradesh,UV Protective Lamination Film - A3,Film,A3,250 micron,12.09,21.0,17.14,Karan Malhotra,South,106.92,2024-06
OI000059,O10022,P1032,23,71.48,0.0,1644.04,C0046,E102,2025-04-18,2025-04-22,Delivered,UPI,1683.91,4,Quick Print Shop Ahmedabad,Retail,Ahmedabad,Gujarat,Thermal Lamination Roll - 36in,Roll,36in,250 micron,34.68,71.48,43.73,Aman Verma,East,846.4,2025-04
OI000060,O10022,P1063,3,13.29,0.0,39.87,C0046,E102,2025-04-18,2025-04-22,Delivered,UPI,1683.91,4,Quick Print Shop Ahmedabad,Retail,Ahmedabad,Gujarat,PVC ID Card Laminate - Business Card,Pouch,Business Card,250 micron,7.28,13.29,9.62,Aman Verma,East,18.03,2025-04
OI000061,O10023,P1011,23,12.76,0.0,293.48,C0087,E105,2024-12-26,2024-12-28,Returned,Cash,293.48,2,City Photocopy Center Lucknow,Retail,Lucknow,Uttar Pradesh,Glossy Lamination Pouch - Letter,Pouch,Letter,250 micron,7.11,12.76,10.18,Anita Desai,North,129.95,2024-12
OI000062,O10024,P1029,14,34.62,0.0,484.68,C0074,E107,2025-03-04,2025-03-05,Delivered,UPI,520.52,1,Student Stationery Bengaluru,Retail,Bengaluru,Karnataka,Thermal Lamination Roll - 27in,Roll,27in,75 micron,20.28,34.62,27.21,Divya Nair,East,200.76,2025-03
OI000063,O10024,P1005,4,8.96,0.0,35.84,C0074,E107,2025-03-04,2025-03-05,Delivered,UPI,520.52,1,Student Stationery Bengaluru,Retail,Bengaluru,Karnataka,Glossy Lamination Pouch - ID Card,Pouch,ID Card,125 micron,5.53,8.96,8.17,Divya Nair,East,13.72,2025-03
OI000064,O10025,P1020,14,5.89,0.0,82.46,C0148,E102,2025-09-09,2025-09-13,Delivered,UPI,82.46,4,Local Print Corner Pune,Retail,Pune,Maharashtra,Matte Lamination Pouch - A5,Pouch,A5,250 micron,3.49,5.89,4.79,Aman Verma,East,33.6,2025-09
OI000065,O10026,P1074,2,21.0,0.0,42.0,C0144,E105,2024-10-21,2024-10-23,Delivered,Cash,42.0,2,Campus Stationery Indore,Retail,Indore,Madhya Pradesh,UV Protective Lamination Film - A3,Film,A3,250 micron,12.09,21.0,17.14,Anita Desai,North,17.82,2024-10
OI000066,O10027,P1000,16,10.41,0.0,166.56,C0149,E103,2025-07-16,2025-07-21,Delivered,UPI,284.36,5,Campus Stationery Surat,Retail,Surat,Gujarat,Glossy Lamination Pouch - A4,Pouch,A4,100 micron,5.55,10.41,7.4,Sneha Kapoor,West,77.76,2025-07
OI000067,O10027,P1020,20,5.89,0.0,117.8,C0149,E103,2025-07-16,2025-07-21,Delivered,UPI,284.36,5,Campus Stationery Surat,Retail,Surat,Gujarat,Matte Lamination Pouch - A5,Pouch,A5,250 micron,3.49,5.89,4.79,Sneha Kapoor,West,48.0,2025-07
OI000068,O10028,P1008,19,18.57,0.0,352.83,C0107,E107,2024-11-02,2024-11-07,Delivered,Cash,780.29,5,Easy ID Cards Surat,Retail,Surat,Gujarat,Glossy Lamination Pouch - A5,Pouch,A5,250 micron,8.52,18.57,11.94,Divya Nair,East,190.95,2024-11
OI000069,O10028,P1052,7,29.94,0.0,209.58,C0107,E107,2024-11-02,2024-11-07,Delivered,Cash,780.29,5,Easy ID Cards Surat,Retail,Surat,Gujarat,Soft Touch Lamination Film - A3,Film,A3,250 micron,14.67,29.94,21.28,Divya Nair,East,106.89,2024-11
OI000070,O10028,P1059,13,16.76,0.0,217.88,C0107,E107,2024-11-02,2024-11-07,Delivered,Cash,780.29,5,Easy ID Cards Surat,Retail,Surat,Gujarat,Holographic Lamination Film - Roll-25in,Film,Roll-25in,75 micron,9.03,16.76,11.79,Divya Nair,East,100.49,2024-11
OI000071,O10029,P1057,9,27.97,0.0,251.73,C0085,E103,2024-09-18,2024-09-20,Delivered,UPI,251.73,2,Easy ID Cards Kolkata,Retail,Kolkata,West Bengal,Holographic Lamination Film - A4,Film,A4,250 micron,13.48,27.97,19.51,Sneha Kapoor,West,130.41,2024-09
OI000078,O10031,P1014,8,6.52,0.0,52.16,C0088,E108,2024-05-19,2024-05-21,Delivered,Cheque,387.8,2,Print N Bind Ahmedabad,Retail,Ahmedabad,Gujarat,Matte Lamination Pouch - A4,Pouch,A4,100 micron,3.53,6.52,5.08,Rohit Joshi,West,23.92,2024-05
OI000079,O10031,P1057,12,27.97,0.0,335.64,C0088,E108,2024-05-19,2024-05-21,Delivered,Cheque,387.8,2,Print N Bind Ahmedabad,Retail,Ahmedabad,Gujarat,Holographic Lamination Film - A4,Film,A4,250 micron,13.48,27.97,19.51,Rohit Joshi,West,173.88,2024-05
OI000080,O10032,P1049,5,16.27,0.0,81.35,C0108,E109,2024-03-18,2024-03-20,Delivered,Bank Transfer,284.0,2,Smart Print Studio Bengaluru,Retail,Bengaluru,Karnataka,Soft Touch Lamination Film - A4,Film,A4,150 micron,8.44,16.27,12.54,Neha Gupta,Central,39.15,2024-03
OI000081,O10032,P1072,21,9.65,0.0,202.65,C0108,E109,2024-03-18,2024-03-20,Delivered,Bank Transfer,284.0,2,Smart Print Studio Bengaluru,Retail,Bengaluru,Karnataka,UV Protective Lamination Film - A4,Film,A4,150 micron,6.0,9.65,7.61,Neha Gupta,Central,76.65,2024-03
OI000082,O10033,P1049,19,16.27,0.0,309.13,C0123,E109,2025-07-16,2025-07-20,Delivered,Bank Transfer,1906.18,4,FastCard Print Coimbatore,Retail,Coimbatore,Tamil Nadu,Soft Touch Lamination Film - A4,Film,A4,150 micron,8.44,16.27,12.54,Neha Gupta,Central,148.77,2025-07
OI000083,O10033,P1039,15,70.77,0.0,1061.55,C0123,E109,2025-07-16,2025-07-20,Delivered,Bank Transfer,1906.18,4,FastCard Print Coimbatore,Retail,Coimbatore,Tamil Nadu,Cold Lamination Roll - 27in,Roll,27in,150 micron,36.21,70.77,45.54,Neha Gupta,Central,518.4,2025-07
OI000084,O10033,P1034,5,107.1,0.0,535.5,C0123,E109,2025-07-16,2025-07-20,Delivered,Bank Transfer,1906.18,4,FastCard Print Coimbatore,Retail,Coimbatore,Tamil Nadu,Cold Lamination Roll - 12in,Roll,12in,150 micron,50.74,107.1,67.45,Neha Gupta,Central,281.8,2025-07
OI000085,O10034,P1014,24,6.52,0.0,156.48,C0051,E108,2024-02-28,2024-03-03,Delivered,UPI,864.18,4,Print N Bind Kolkata,Retail,Kolkata,West Bengal,Matte Lamination Pouch - A4,Pouch,A4,100 micron,3.53,6.52,5.08,Rohit Joshi,West,71.76,2024-02
OI000086,O10034,P1039,10,70.77,0.0,707.7,C0051,E108,2024-02-28,2024-03-03,Delivered,UPI,864.18,4,Print N Bind Kolkata,Retail,Kolkata,West Bengal,Cold Lamination Roll - 27in,Roll,27in,150 micron,36.21,70.77,45.54,Rohit Joshi,West,345.6,2024-02
OI000087,O10035,P1042,23,15.17,0.036,336.35,C0090,E108,2025-09-08,2025-09-10,Delivered,UPI,794.45,2,FastCard Print Jaipur,Retail,Jaipur,Rajasthan,Self-Adhesive Laminate Sheet - A4,Sheet,A4,125 micron,8.14,15.17,10.33,Rohit Joshi,West,155.87,2025-09
OI000088,O10035,P1011,12,12.76,0.0,153.12,C0090,E108,2025-09-08,2025-09-10,Delivered,UPI,794.45,2,FastCard Print Jaipur,Retail,Jaipur,Rajasthan,Glossy Lamination Pouch - Letter,Pouch,Letter,250 micron,7.11,12.76,10.18,Rohit Joshi,West,67.8,2025-09
OI000089,O10035,P1061,23,13.3,0.003,304.98,C0090,E108,2025-09-08,2025-09-10,Delivered,UPI,794.45,2,FastCard Print Jaipur,Retail,Jaipur,Rajasthan,PVC ID Card Laminate - ID Card,Pouch,ID Card,150 micron,7.04,13.3,9.47,Rohit Joshi,West,143.55,2025-09
OI000097,O10037,P1008,13,18.57,0.0,241.41,C0097,E107,2025-10-28,2025-10-29,Delivered,UPI,320.65,1,FastCard Print Pune,Retail,Pune,Maharashtra,Glossy Lamination Pouch - A5,Pouch,A5,250 micron,8.52,18.57,11.94,Divya Nair,East,130.65,2025-10
OI000098,O10037,P1002,20,4.14,0.043,79.24,C0097,E107,2025-10-28,2025-10-29,Delivered,UPI,320.65,1,FastCard Print Pune,Retail,Pune,Maharashtra,Glossy Lamination Pouch - A3,Pouch,A3,150 micron,2.54,4.14,3.79,Divya Nair,East,30.62,2025-10
OI000099,O10038,P1029,4,34.62,0.0,138.48,C0112,E107,2025-06-11,2025-06-16,Delivered,Cash,138.48,5,City Photocopy Center Lucknow,Retail,Lucknow,Uttar Pradesh,Thermal Lamination Roll - 27in,Roll,27in,75 micron,20.28,34.62,27.21,Divya Nair,East,57.36,2025-06
OI000100,O10039,P1011,17,12.76,0.0,216.92,C0051,E104,2025-04-04,2025-04-05,Returned,Cash,351.8,1,Print N Bind Kolkata,Retail,Kolkata,West Bengal,Glossy Lamination Pouch - Letter,Pouch,Letter,250 micron,7.11,12.76,10.18,Vikram Rao,Central,96.05,2025-04
OI000101,O10039,P1066,12,11.24,0.0,134.88,C0051,E104,2025-04-04,2025-04-05,Returned,Cash,351.8,1,Print N Bind Kolkata,Retail,Kolkata,West Bengal,Anti-Scratch Lamination Sheet - A4,Sheet,A4,125 micron,6.91,11.24,9.12,Vikram Rao,Central,51.96,2025-04
OI000102,O10040,P1049,10,16.27,0.0,162.7,C0071,E103,2025-11-20,2025-11-23,Delivered,Cash,589.02,3,Student Stationery Chandigarh,Retail,Chandigarh,Punjab,Soft Touch Lamination Film - A4,Film,A4,150 micron,8.44,16.27,12.54,Sneha Kapoor,West,78.3,2025-11
OI000103,O10040,P1052,12,29.94,0.0,359.28,C0071,E103,2025-11-20,2025-11-23,Delivered,Cash,589.02,3,Student Stationery Chandigarh,Retail,Chandigarh,Punjab,Soft Touch Lamination Film - A3,Film,A3,250 micron,14.67,29.94,21.28,Sneha Kapoor,West,183.24,2025-11
OI000104,O10040,P1059,4,16.76,0.0,67.04,C0071,E103,2025-11-20,2025-11-23,Delivered,Cash,589.02,3,Student Stationery Chandigarh,Retail,Chandigarh,Punjab,Holographic Lamination Film - Roll-25in,Film,Roll-25in,75 micron,9.03,16.76,11.79,Sneha Kapoor,West,30.92,2025-11
