order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
OI000166,O10063,P1074,19,21.0,0.0,399.0
OI000167,O10063,P1000,21,10.41,0.015,215.33
OI000168,O10064,P1077,18,24.27,0.005,434.68
OI000169,O10064,P1020,6,5.89,0.0,35.34
OI000170,O10065,P1027,18,65.16,0.0,1172.88
OI000171,O10066,P1011,21,12.76,0.0,267.96
OI000172,O10066,P1000,14,10.41,0.0,145.74
OI000173,O10066,P1027,10,65.16,0.0,651.6
OI000174,O10067,P1032,117,43.73,0.03,4962.92
OI000175,O10067,P1061,106,9.47,0.039,964.67
OI000176,O10067,P1016,73,5.44,0.0,397.12
OI000177,O10067,P1049,44,12.54,0.0,551.76
OI000178,O10067,P1029,193,27.21,0.072,4873.42
OI000179,O10068,P1016,8,6.93,0.048,52.78
OI000180,O10069,P1022,7,6.86,0.0,48.02
OI000181,O10070,P1069,15,8.65,0.0,129.75
OI000182,O10071,P1016,15,6.93,0.021,101.77
OI000183,O10071,P1074,12,21.0,0.0,252.0
OI000184,O10072,P1049,22,16.27,0.0,357.94
OI000185,O10072,P1029,18,34.62,0.0,623.16
OI000186,O10072,P1000,17,10.41,0.025,172.55
OI000187,O10073,P1055,18,15.82,0.0,284.76
OI000188,O10073,P1044,19,8.99,0.0,170.81
OI000189,O10073,P1061,16,13.3,0.0,212.8
OI000190,O10074,P1061,13,13.3,0.0,172.9
OI000191,O10075,P1008,4,18.57,0.04,71.31
OI000192,O10075,P1000,5,10.41,0.0,52.05
OI000193,O10075,P1059,7,16.76,0.0,117.32
OI000194,O10076,P1027,14,65.16,0.0,912.24
OI000195,O10076,P1072,16,9.65,0.019,151.47
OI000196,O10076,P1025,8,54.94,0.0,439.52
OI000197,O10077,P1020,93,4.79,0.027,433.44
OI000198,O10077,P1002,62,3.79,0.004,234.04
OI000199,O10077,P1014,56,5.08,0.005,283.06
OI000200,O10077,P1042,41,10.33,0.0,423.53
OI000201,O10078,P1005,3,8.96,0.0,26.88
OI000202,O10078,P1036,6,67.58,0.0,405.48
OI000203,O10079,P1027,18,65.16,0.0,1172.88
OI000204,O10079,P1044,1,8.99,0.0,8.99
OI000205,O10080,P1020,139,4.79,0.075,615.87
OI000206,O10080,P1074,71,17.14,0.0,1216.94
OI000207,O10080,P1018,41,5.96,0.0,244.36
OI000208,O10080,P1046,68,6.1,0.0,414.8
OI000209,O10080,P1072,103,7.61,0.055,740.72
OI000210,O10080,P1077,119,17.4,0.023,2022.98
OI000211,O10080,P1052,64,21.28,0.012,1345.58
OI000212,O10081,P1049,1,16.27,0.0,16.27
OI000213,O10081,P1014,9,6.52,0.0,58.68
OI000214,O10081,P1066,7,11.24,0.0,78.68
OI000215,O10082,P1044,22,8.99,0.0,197.78
OI000216,O10082,P1005,19,8.96,0.0,170.24
OI000217,O10082,P1018,10,8.68,0.016,85.41
OI000218,O10083,P1069,118,6.14,0.054,685.4
OI000219,O10083,P1044,83,6.11,0.0,507.13
OI000220,O10083,P1018,29,5.96,0.0,172.84
OI000221,O10083,P1008,78,11.94,0.005,926.66
OI000222,O10083,P1005,164,8.17,0.067,1250.11
OI000223,O10083,P1014,67,5.08,0.0,340.36
OI000224,O10083,P1039,56,45.54,0.027,2481.38
OI000225,O10084,P1020,18,5.89,0.004,105.6
OI000226,O10084,P1025,9,54.94,0.0,494.46
OI000227,O10084,P1055,10,15.82,0.0,158.2
OI000228,O10085,P1055,22,15.82,0.0,348.04
OI000229,O10085,P1049,5,16.27,0.0,81.35
OI000230,O10085,P1057,9,27.97,0.027,244.93
OI000231,O10086,P1016,11,6.93,0.0,76.23
OI000232,O10086,P1055,21,15.82,0.0,332.22
OI000233,O10087,P1057,14,27.97,0.0,391.58
OI000234,O10087,P1063,20,13.29,0.015,261.81
OI000235,O10088,P1069,20,8.65,0.0,173.0
OI000236,O10088,P1002,19,4.14,0.027,76.54
OI000237,O10088,P1011,8,12.76,0.0,102.08
OI000238,O10089,P1002,5,4.14,0.034,20.0
OI000239,O10090,P1022,13,6.86,0.0,89.18
OI000240,O10090,P1077,12,24.27,0.0,291.24
OI000241,O10091,P1074,24,21.0,0.0,504.0
OI000242,O10092,P1052,5,29.94,0.0,149.7
OI000243,O10092,P1011,18,12.76,0.0,229.68
OI000244,O10092,P1042,7,15.17,0.0,106.19
OI000245,O10093,P1061,22,13.3,0.0,292.6
OI000246,O10093,P1039,18,70.77,0.0,1273.86
OI000247,O10094,P1016,19,6.93,0.0,131.67
OI000248,O10095,P1018,8,8.68,0.0,69.44
OI000249,O10095,P1014,18,6.52,0.0,117.36
OI000250,O10096,P1074,15,21.0,0.0,315.0
OI000251,O10097,P1061,1,13.3,0.0,13.3
OI000252,O10097,P1063,14,13.29,0.0,186.06
OI000253,O10098,P1074,1,21.0,0.0,21.0
OI000254,O10098,P1005,13,8.96,0.031,112.87
OI000255,O10098,P1018,9,8.68,0.0,78.12
OI000256,O10099,P1034,1,107.1,0.0,107.1
OI000257,O10100,P1018,3,8.68,0.0,26.04
OI000258,O10100,P1002,22,4.14,0.0,91.08
OI000259,O10101,P1016,24,6.93,0.0,166.32
OI000260,O10102,P1052,3,29.94,0.0,89.82
OI000261,O10103,P1069,1,8.65,0.0,8.65
OI000262,O10103,P1014,5,6.52,0.0,32.6
OI000263,O10103,P1072,1,9.65,0.046,9.21
OI000264,O10104,P1002,6,4.14,0.0,24.84
OI000265,O10105,P1072,199,7.61,0.051,1437.16
OI000266,O10105,P1025,180,39.29,0.028,6874.18
OI000267,O10105,P1032,57,43.73,0.0,2492.61
OI000268,O10105,P1008,45,11.94,0.0,537.3
OI000269,O10105,P1022,58,5.13,0.0,297.54
OI000270,O10105,P1020,180,4.79,0.093,782.02
OI000271,O10106,P1074,147,17.14,0.035,2431.39
OI000272,O10106,P1057,61,19.51,0.0,1190.11
OI000273,O10106,P1008,44,11.94,0.003,523.78
OI000274,O10106,P1034,39,67.45,0.0,2630.55
OI000275,O10107,P1036,10,67.58,0.0,675.8
OI000276,O10107,P1066,4,11.24,0.0,44.96
OI000277,O10108,P1008,19,18.57,0.029,342.6
OI000278,O10109,P1066,110,9.12,0.049,954.04
OI000279,O10109,P1032,36,43.73,0.0,1574.28
OI000280,O10109,P1025,65,39.29,0.0,2553.85
OI000281,O10109,P1042,161,10.33,0.088,1516.77
OI000282,O10109,P1022,113,5.13,0.01,573.89
OI000283,O10109,P1016,170,5.44,0.056,873.01
OI000284,O10109,P1072,157,7.61,0.045,1141.01
OI000285,O10109,P1008,35,11.94,0.018,410.38
OI000286,O10110,P1036,13,67.58,0.0,878.54
OI000287,O10110,P1034,13,107.1,0.0,1392.3
OI000288,O10111,P1059,13,16.76,0.0,217.88
OI000289,O10112,P1072,8,9.65,0.048,73.49
OI000290,O10112,P1069,9,8.65,0.0,77.85
OI000291,O10112,P1008,16,18.57,0.0,297.12
OI000292,O10113,P1032,8,71.48,0.0,571.84
OI000293,O10113,P1018,11,8.68,0.0,95.48
OI000294,O10114,P1034,19,107.1,0.0,2034.9
OI000295,O10114,P1072,1,9.65,0.0,9.65
OI000296,O10115,P1014,186,5.08,0.091,858.9
OI000297,O10115,P1069,126,6.14,0.063,724.9
OI000298,O10115,P1025,37,39.29,0.0,1453.73
OI000299,O10115,P1008,186,11.94,0.072,2060.94
OI000300,O10115,P1044,73,6.11,0.0,446.03
OI000301,O10115,P1046,113,6.1,0.093,625.2
OI000302,O10116,P1061,59,9.47,0.0,558.73
OI000303,O10116,P1022,184,5.13,0.042,904.28
OI000304,O10116,P1059,131,11.79,0.041,1481.17
OI000305,O10117,P1049,24,16.27,0.0,390.48
OI000306,O10117,P1044,13,8.99,0.0,116.87
OI000307,O10118,P1011,3,12.76,0.0,38.28
OI000308,O10119,P1025,16,54.94,0.028,854.43
OI000309,O10119,P1059,22,16.76,0.0,368.72
OI000310,O10120,P1049,19,16.27,0.0,309.13
OI000311,O10120,P1077,19,24.27,0.0,461.13
OI000312,O10121,P1066,158,9.12,0.01,1426.55
OI000313,O10121,P1042,173,10.33,0.01,1769.22
OI000314,O10121,P1014,42,5.08,0.0,213.36
OI000315,O10121,P1072,67,7.61,0.0,509.87
OI000316,O10121,P1049,21,12.54,0.0,263.34
OI000317,O10121,P1057,174,19.51,0.006,3374.37
OI000318,O10121,P1055,97,9.97,0.0,967.09
OI000319,O10122,P1000,10,10.41,0.0,104.1
OI000320,O10122,P1008,7,18.57,0.0,129.99
OI000321,O10122,P1042,18,15.17,0.0,273.06
OI000322,O10123,P1039,85,45.54,0.0,3870.9
OI000323,O10123,P1042,106,10.33,0.028,1064.32
OI000324,O10123,P1022,117,5.13,0.073,556.39
OI000325,O10123,P1077,29,17.4,0.0,504.6
OI000326,O10123,P1005,112,8.17,0.095,828.11
OI000327,O10123,P1036,36,49.26,0.0,1773.36
OI000328,O10124,P1063,14,13.29,0.039,178.8
OI000329,O10124,P1059,10,16.76,0.0,167.6
OI000330,O10124,P1034,22,107.1,0.0,2356.2
OI000331,O10125,P1072,10,9.65,0.0,96.5
OI000332,O10125,P1000,10,10.41,0.0,104.1
OI000333,O10126,P1061,1,13.3,0.0,13.3
OI000334,O10126,P1074,18,21.0,0.012,373.46
OI000335,O10126,P1039,23,70.77,0.0,1627.71
OI000336,O10127,P1008,5,18.57,0.0,92.85
OI000337,O10127,P1036,5,67.58,0.0,337.9
OI000338,O10127,P1029,17,34.62,0.003,586.77
OI000339,O10128,P1074,51,17.14,0.0,874.14
OI000340,O10128,P1039,88,45.54,0.002,3999.5
OI000341,O10128,P1055,100,9.97,0.0,997.0
OI000342,O10128,P1072,43,7.61,0.0,327.23
OI000343,O10128,P1018,81,5.96,0.0,482.76
OI000344,O10128,P1042,150,10.33,0.022,1515.41
OI000345,O10128,P1011,150,10.18,0.091,1388.04
OI000346,O10129,P1052,2,29.94,0.0,59.88
OI000347,O10130,P1036,106,49.26,0.048,4970.93
OI000348,O10130,P1032,101,43.73,0.064,4134.06
OI000349,O10130,P1059,77,11.79,0.0,907.83
OI000350,O10130,P1025,141,39.29,0.093,5024.68
OI000351,O10130,P1044,150,6.11,0.087,836.76
OI000352,O10130,P1057,77,19.51,0.0,1502.27
OI000353,O10130,P1000,110,7.4,0.011,805.05
OI000354,O10130,P1055,145,9.97,0.034,1396.5
OI000355,O10131,P1020,127,4.79,0.044,581.56
OI000356,O10131,P1002,35,3.79,0.043,126.95
OI000357,O10131,P1005,100,8.17,0.016,803.93
OI000358,O10131,P1063,60,9.62,0.0,577.2
OI000359,O10131,P1052,78,21.28,0.041,1591.79
OI000360,O10131,P1069,163,6.14,0.023,977.8
OI000361,O10131,P1061,153,9.47,0.063,1357.63
OI000362,O10132,P1066,4,11.24,0.003,44.83
OI000363,O10133,P1029,6,34.62,0.015,204.6
OI000364,O10133,P1066,19,11.24,0.0,213.56
OI000365,O10133,P1002,13,4.14,0.0,53.82
OI000366,O10134,P1025,116,39.29,0.02,4466.49
OI000367,O10134,P1074,192,17.14,0.09,2994.7
OI000368,O10134,P1057,33,19.51,0.0,643.83
OI000369,O10135,P1005,17,8.96,0.0,152.32
OI000370,O10135,P1032,1,71.48,0.0,71.48
OI000371,O10135,P1022,4,6.86,0.0,27.44
OI000372,O10136,P1018,21,8.68,0.0,182.28
OI000373,O10136,P1000,7,10.41,0.0,72.87
OI000374,O10136,P1055,16,15.82,0.0,253.12
OI000375,O10137,P1066,82,9.12,0.0,747.84
OI000376,O10137,P1036,112,49.26,0.066,5152.99
OI000377,O10137,P1005,71,8.17,0.0,580.07
OI000378,O10138,P1044,2,8.99,0.0,17.98
OI000379,O10138,P1069,5,8.65,0.0,43.25
OI000380,O10138,P1016,3,6.93,0.0,20.79
OI000381,O10139,P1036,148,49.26,0.084,6678.08
OI000382,O10139,P1042,22,10.33,0.0,227.26
OI000383,O10139,P1032,71,43.73,0.0,3104.83
OI000384,O10139,P1029,115,27.21,0.028,3041.53
OI000385,O10139,P1025,79,39.29,0.0,3103.91
OI000386,O10139,P1074,38,17.14,0.0,651.32
OI000387,O10139,P1008,41,11.94,0.0,489.54
OI000388,O10140,P1059,2,16.76,0.0,33.52
OI000389,O10140,P1042,6,15.17,0.045,86.92
OI000390,O10140,P1018,19,8.68,0.0,164.92
OI000391,O10141,P1057,116,19.51,0.026,2204.32
OI000392,O10141,P1059,175,11.79,0.052,1955.96
OI000393,O10141,P1018,109,5.96,0.096,587.27
OI000394,O10141,P1032,95,43.73,0.0,4154.35
OI000395,O10142,P1014,17,6.52,0.0,110.84
OI000396,O10142,P1059,24,16.76,0.0,402.24
OI000397,O10143,P1057,22,27.97,0.0,615.34
OI000398,O10144,P1072,21,9.65,0.017,199.2
OI000399,O10145,P1077,43,17.4,0.0,748.2
OI000400,O10145,P1039,131,45.54,0.097,5387.06
OI000401,O10145,P1059,73,11.79,0.021,842.6
OI000402,O10145,P1005,51,8.17,0.0,416.67
OI000403,O10145,P1025,72,39.29,0.0,2828.88
OI000404,O10145,P1052,95,21.28,0.0,2021.6
OI000405,O10146,P1034,7,107.1,0.0,749.7
OI000406,O10146,P1025,8,54.94,0.0,439.52
OI000407,O10146,P1027,14,65.16,0.0,912.24
OI000408,O10147,P1005,24,8.96,0.0,215.04
OI000409,O10148,P1039,5,70.77,0.0,353.85
OI000410,O10148,P1057,6,27.97,0.0,167.82
OI000411,O10149,P1025,23,54.94,0.028,1228.24
OI000412,O10149,P1029,5,34.62,0.0,173.1
OI000413,O10150,P1002,24,4.14,0.0,99.36
OI000414,O10150,P1016,11,6.93,0.0,76.23
OI000415,O10150,P1005,12,8.96,0.0,107.52
OI000416,O10151,P1074,24,21.0,0.0,504.0
OI000417,O10152,P1018,16,8.68,0.0,138.88
OI000418,O10152,P1020,22,5.89,0.0,129.58
OI000419,O10153,P1077,66,17.4,0.0,1148.4
OI000420,O10153,P1046,53,6.1,0.0,323.3
OI000421,O10153,P1000,176,7.4,0.042,1247.7
OI000422,O10153,P1020,105,4.79,0.066,469.76
OI000423,O10154,P1057,61,19.51,0.018,1168.69
OI000424,O10154,P1074,171,17.14,0.014,2889.91
OI000425,O10154,P1036,84,49.26,0.0,4137.84
OI000426,O10154,P1077,140,17.4,0.072,2260.61
OI000427,O10154,P1046,197,6.1,0.053,1138.01
OI000428,O10154,P1069,122,6.14,0.024,731.1
OI000429,O10154,P1002,131,3.79,0.033,480.11
OI000430,O10155,P1055,10,15.82,0.0,158.2
OI000431,O10155,P1059,18,16.76,0.032,292.03
OI000432,O10155,P1020,8,5.89,0.0,47.12
OI000433,O10156,P1072,5,9.65,0.039,46.37
OI000434,O10156,P1049,17,16.27,0.0,276.59
OI000435,O10156,P1016,3,6.93,0.0,20.79
OI000436,O10157,P1059,18,16.76,0.0,301.68
OI000437,O10157,P1072,22,9.65,0.0,212.3
OI000438,O10157,P1049,12,16.27,0.0,195.24
OI000439,O10158,P1055,153,9.97,0.063,1429.31
OI000440,O10158,P1034,115,67.45,0.05,7368.91
OI000441,O10158,P1011,40,10.18,0.0,407.2
OI000442,O10158,P1002,133,3.79,0.07,468.79
OI000443,O10158,P1072,54,7.61,0.0,410.94
OI000444,O10159,P1029,4,34.62,0.0,138.48
OI000445,O10159,P1036,17,67.58,0.004,1144.26
OI000446,O10160,P1020,2,5.89,0.0,11.78
OI000447,O10160,P1002,17,4.14,0.0,70.38
OI000448,O10161,P1027,6,65.16,0.0,390.96
OI000449,O10162,P1066,14,11.24,0.0,157.36
OI000450,O10163,P1077,22,24.27,0.0,533.94
OI000451,O10164,P1032,21,71.48,0.0,1501.08
OI000452,O10164,P1061,21,13.3,0.0,279.3
OI000453,O10164,P1042,20,15.17,0.0,303.4
OI000454,O10165,P1016,17,6.93,0.0,117.81
OI000455,O10166,P1034,23,107.1,0.0,2463.3
OI000456,O10166,P1046,20,8.64,0.018,169.69
OI000457,O10167,P1044,146,6.11,0.082,818.91
OI000458,O10167,P1029,103,27.21,0.047,2670.91
OI000459,O10167,P1069,67,6.14,0.0,411.38
OI000460,O10167,P1059,135,11.79,0.032,1540.72
OI000461,O10167,P1020,191,4.79,0.097,826.15
OI000462,O10167,P1022,110,5.13,0.028,548.5
OI000463,O10167,P1061,111,9.47,0.046,1002.82
OI000464,O10167,P1008,63,11.94,0.049,715.36
OI000465,O10168,P1014,5,6.52,0.0,32.6
OI000466,O10169,P1066,24,11.24,0.0,269.76
OI000467,O10170,P1018,1,8.68,0.0,8.68
OI000468,O10170,P1034,5,107.1,0.0,535.5
OI000469,O10171,P1057,191,19.51,0.051,3536.36
OI000470,O10171,P1061,168,9.47,0.042,1524.14
OI000471,O10171,P1000,54,7.4,0.0,399.6
OI000472,O10171,P1020,26,4.79,0.0,124.54
OI000473,O10171,P1066,184,9.12,0.029,1629.42
OI000474,O10171,P1042,155,10.33,0.095,1449.04
OI000475,O10171,P1059,195,11.79,0.022,2248.47
OI000476,O10171,P1063,136,9.62,0.092,1187.95
OI000477,O10172,P1046,194,6.1,0.038,1138.43
OI000478,O10172,P1005,109,8.17,0.027,866.49
OI000479,O10172,P1036,54,49.26,0.0,2660.04
OI000480,O10172,P1063,160,9.62,0.032,1489.95
OI000481,O10172,P1077,97,17.4,0.0,1687.8
OI000482,O10172,P1042,22,10.33,0.0,227.26
OI000483,O10172,P1074,183,17.14,0.011,3102.12
OI000484,O10173,P1055,24,9.97,0.0,239.28
OI000485,O10173,P1057,141,19.51,0.034,2657.38
OI000486,O10173,P1077,76,17.4,0.0,1322.4
OI000487,O10173,P1072,163,7.61,0.013,1224.3
OI000488,O10173,P1046,31,6.1,0.0,189.1
OI000489,O10173,P1049,82,12.54,0.0,1028.28
OI000490,O10173,P1063,153,9.62,0.043,1408.57
OI000491,O10174,P1039,9,70.77,0.0,636.93
OI000492,O10174,P1072,9,9.65,0.0,86.85
OI000493,O10174,P1034,11,107.1,0.0,1178.1
OI000494,O10175,P1066,6,11.24,0.0,67.44
OI000495,O10175,P1005,5,8.96,0.0,44.8
OI000496,O10176,P1000,12,10.41,0.0,124.92
OI000497,O10176,P1002,1,4.14,0.0,4.14
OI000498,O10177,P1061,13,13.3,0.02,169.44
OI000499,O10178,P1049,47,12.54,0.0,589.38
OI000500,O10178,P1046,199,6.1,0.01,1201.76
OI000501,O10178,P1032,156,43.73,0.022,6671.8
OI000502,O10178,P1036,124,49.26,0.004,6083.81
OI000503,O10178,P1020,183,4.79,0.041,840.63
OI000504,O10178,P1057,70,19.51,0.0,1365.7
OI000505,O10178,P1027,141,56.63,0.092,7250.23
OI000506,O10178,P1016,76,5.44,0.008,410.13
OI000507,O10179,P1014,16,6.52,0.0,104.32
OI000508,O10179,P1059,13,16.76,0.0,217.88
OI000509,O10180,P1069,14,8.65,0.003,120.74
OI000510,O10180,P1016,11,6.93,0.0,76.23
OI000511,O10180,P1005,15,8.96,0.022,131.44
